"120186","16 57th st se, Washington, DC, ","Match","Exact","16 57TH ST SE, WASHINGTON, DC, 20019","-76.91831,38.88724","76234167","L"
"120187","18 57th st se, Washington, DC, ","Match","Exact","18 57TH ST SE, WASHINGTON, DC, 20019","-76.91829,38.88727","76234167","L"
"129506","1361 morris rd se, Washington, DC, ","Match","Exact","1361 MORRIS RD SE, WASHINGTON, DC, 20020","-76.98916,38.86131","76231091","R"
"129505","1359 morris rd se, Washington, DC, ","Match","Exact","1359 MORRIS RD SE, WASHINGTON, DC, 20020","-76.9892,38.861347","76231091","R"
"129504","1357 morris rd se, Washington, DC, ","Match","Exact","1357 MORRIS RD SE, WASHINGTON, DC, 20020","-76.989235,38.861385","76231091","R"
"129503","1355 morris rd se, Washington, DC, ","Match","Exact","1355 MORRIS RD SE, WASHINGTON, DC, 20020","-76.989265,38.861423","76231091","R"
"129509","1369 morris rd se, Washington, DC, ","Match","Exact","1369 MORRIS RD SE, WASHINGTON, DC, 20020","-76.98902,38.861156","76231091","R"
"129508","1367 morris rd se, Washington, DC, ","Match","Exact","1367 MORRIS RD SE, WASHINGTON, DC, 20020","-76.98905,38.861195","76231091","R"
"129507","1363 morris rd se, Washington, DC, ","Match","Exact","1363 MORRIS RD SE, WASHINGTON, DC, 20020","-76.98913,38.86127","76231091","R"
"126520","1719 27th st se, Washington, DC, ","Match","Exact","1719 27TH ST SE, WASHINGTON, DC, 20020","-76.96898,38.86912","76231836","R"
"126521","t st se, Washington, DC, ","No_Match"
"126516","2505 r st se, Washington, DC, ","Match","Exact","2505 R ST SE, WASHINGTON, DC, 20020","-76.970604,38.869465","76231835","R"
"126515","1733 27th st se, Washington, DC, ","Match","Exact","1733 27TH ST SE, WASHINGTON, DC, 20020","-76.96898,38.868942","76231836","R"
"126518","1712 25th st se, Washington, DC, ","Match","Exact","1712 25TH ST SE, WASHINGTON, DC, 20020","-76.97093,38.869328","76231807","L"
"126517","2507 r st se, Washington, DC, ","Match","Exact","2507 R ST SE, WASHINGTON, DC, 20020","-76.970474,38.869465","76231835","R"
"126512","2508 naylor rd se, Washington, DC, ","Match","Exact","2508 NAYLOR RD SE, WASHINGTON, DC, 20020","-76.97079,38.868435","76238480","L"
"126511","r st se, Washington, DC, ","No_Match"
"126514","1729 27th st se, Washington, DC, ","Match","Exact","1729 27TH ST SE, WASHINGTON, DC, 20020","-76.96898,38.86899","76231836","R"
"126513","1723 27th st se, Washington, DC, ","Match","Exact","1723 27TH ST SE, WASHINGTON, DC, 20020","-76.96898,38.869072","76231836","R"
"120198","144 57th st se, Washington, DC, ","Match","Exact","144 57TH ST SE, WASHINGTON, DC, 20019","-76.91818,38.887695","76234167","L"
"126519","2515 r st se, Washington, DC, ","Match","Exact","2515 R ST SE, WASHINGTON, DC, 20020","-76.96993,38.86947","76239770","R"
"120197","140 57th st se, Washington, DC, ","Match","Exact","140 57TH ST SE, WASHINGTON, DC, 20019","-76.918175,38.887627","76234167","L"
"120199","146 57th st se, Washington, DC, ","Match","Exact","146 57TH ST SE, WASHINGTON, DC, 20019","-76.91818,38.88773","76234167","L"
"126531","2409 s st se, Washington, DC, ","Match","Exact","2409 S ST SE, WASHINGTON, DC, 20020","-76.97201,38.86824","76239600","R"
"126532","2411 s st se, Washington, DC, ","Match","Exact","2411 S ST SE, WASHINGTON, DC, 20020","-76.971985,38.86824","76239600","R"
"126530","2418 t st se, Washington, DC, ","Match","Exact","2418 T ST SE, WASHINGTON, DC, 20020","-76.97175,38.867283","76231848","L"
"126529","s st se, Washington, DC, ","No_Match"
"122307","4636 hillside rd se, Washington, DC, ","Match","Exact","4636 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.932945,38.876488","76233916","L"
"126528","2351 s st se, Washington, DC, ","Match","Exact","2351 S ST SE, WASHINGTON, DC, 20020","-76.972855,38.86824","76231809","R"
"122306","4638 hillside rd se, Washington, DC, ","Match","Exact","4638 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.93289,38.876488","76233916","L"
"126527","24th pl se, Washington, DC, ","No_Match"
"122309","4630 hillside rd se, Washington, DC, ","Match","Exact","4630 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.93309,38.876488","76233916","L"
"126526","1802 24th pl se, Washington, DC, ","Match","Exact","1802 24TH PL SE, WASHINGTON, DC, 20020","-76.97218,38.86816","76231810","L"
"122308","4632 hillside rd se, Washington, DC, ","Match","Exact","4632 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.933044,38.876488","76233916","L"
"126525","1816 24th pl se, Washington, DC, ","Match","Exact","1816 24TH PL SE, WASHINGTON, DC, 20020","-76.97218,38.868053","76231810","L"
"126524","1818 24th pl se, Washington, DC, ","Match","Exact","1818 24TH PL SE, WASHINGTON, DC, 20020","-76.97218,38.86804","76231810","L"
"126523","2412 t st se, Washington, DC, ","Match","Exact","2412 T ST SE, WASHINGTON, DC, 20020","-76.971855,38.867287","76231848","L"
"126522","2420 t st se, Washington, DC, ","Match","Exact","2420 T ST SE, WASHINGTON, DC, 20020","-76.97172,38.867283","76231848","L"
"122301","4654 hillside rd se, Washington, DC, ","Match","Exact","4654 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.932495,38.876488","76233916","L"
"122300","4656 hillside rd se, Washington, DC, ","Match","Exact","4656 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.93245,38.876488","76233916","L"
"122303","4648 hillside rd se, Washington, DC, ","Match","Exact","4648 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.93265,38.876488","76233916","L"
"122302","4650 hillside rd se, Washington, DC, ","Match","Exact","4650 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.932594,38.876488","76233916","L"
"122305","4642 hillside rd se, Washington, DC, ","Match","Exact","4642 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.93279,38.876488","76233916","L"
"122304","4644 hillside rd se, Washington, DC, ","Match","Exact","4644 HILLSIDE RD SE, WASHINGTON, DC, 20019","-76.93275,38.876488","76233916","L"
"122319","1142 46th pl se, Washington, DC, ","Match","Exact","1142 46TH PL SE, WASHINGTON, DC, 20019","-76.933136,38.877354","76236687","L"
"122318","4639 h st se, Washington, DC, ","Match","Exact","4639 H ST SE, WASHINGTON, DC, 20019","-76.93366,38.87865","76233844","R"
