,address,city,state,zip
174972,5832 georgia ave nw p-10c,Washington,DC,
26640,9th st nw,Washington,DC,
162455,7234 15th pl nw,Washington,DC,
52775,0555 massachusetts av,Washington,DC,
31027,0400 8th st nw,Washington,DC,
41223,0555 massachusetts av,Washington,DC,
152158,1851 columbia rd nw  unit: 208,Washington,DC,
38366,1103 6th st nw,Washington,DC,
244362,4th st se,Washington,DC,
105246,2325 42nd st nw  unit: 221,Washington,DC,
72674,m st se,Washington,DC,
228296,3929 burns pl se,Washington,DC,
130463,3883 connecticut av,Washington,DC,
139751,3883 connecticut av,Washington,DC,
247863,nw,Washington,DC,
132986,3883 connecticut av,Washington,DC,
230046,3659 highwood dr se,Washington,DC,
176291,nw,Washington,DC,
232762,2420 t st se,Washington,DC,
227949,4519 texas av se,Washington,DC,
238519,ainger pl se,Washington,DC,
37922,700 7th st sw  unit: 732,Washington,DC,
248654,ne,Washington,DC,
225594,5037 hanna pl se,Washington,DC,
29080,0400 8th st nw,Washington,DC,
100700,3630 fordham rd nw,Washington,DC,
173617,georgia ave nw,Washington,DC,
140802,3883 connecticut av,Washington,DC,
185208,407 randolph st nw,Washington,DC,
127622,3883 connecticut av,Washington,DC,
132786,3883 connecticut av,Washington,DC,
138778,3883 connecticut av,Washington,DC,
191079,1914 4th st ne  unit: 1,Washington,DC,
189156,22 rhode island ave ne,Washington,DC,
34804,0400 8th st nw,Washington,DC,
244615,441 woodcrest dr se,Washington,DC,
218417,4929 foote st ne  unit: 10,Washington,DC,
152153,1851 columbia rd nw  unit: 110,Washington,DC,
37515,616 e st nw  unit: 1218,Washington,DC,
47738,0555 massachusetts av,Washington,DC,
147363,3883 connecticut av,Washington,DC,
175430,7311 12th st nw,Washington,DC,
58760,437 new york ave nw  unit: 504,Washington,DC,
117555,2818 connecticut av,Washington,DC,
229249,se,Washington,DC,
90275,nw,Washington,DC,
52325,0555 massachusetts av,Washington,DC,
15997,1312 massachusetts ave nw  unit: 510,Washington,DC,
213705,meade st ne,Washington,DC,
161596,14th st r nw p-8,Washington,DC,
57960,1425 4th st sw unit: p84,Washington,DC,
202035,3908 17th st ne,Washington,DC,
92169,1436 wisconsin av nw,Washington,DC,
204509,2433 otis st ne,Washington,DC,
7004,1752 s st nw  unit: 2,Washington,DC,
22794,10th st nw,Washington,DC,
214910,clay st ne,Washington,DC,
61010,811 4th st nw  unit: 608,Washington,DC,
168983,2623 sherman ave nw,Washington,DC,
23462,h st nw,Washington,DC,
81556,513 12th st ne  unit: 6,Washington,DC,
206668,channing st ne,Washington,DC,
220284,506 58th st ne,Washington,DC,
163196,1904 tulip st nw,Washington,DC,
237563,se,Washington,DC,
216344,4727 jay st ne,Washington,DC,
146528,3883 connecticut av,Washington,DC,
122986,3883 connecticut av,Washington,DC,
191028,304 t st ne,Washington,DC,
155270,1613 harvard st nw  unit: 515,Washington,DC,
16428,nw,Washington,DC,
135773,3883 connecticut av,Washington,DC,
136910,3883 connecticut av,Washington,DC,
197899,1266 delafield pl ne,Washington,DC,
24912,10th st nw,Washington,DC,
153632,2412 17th st nw  unit: 202,Washington,DC,
207734,1770 lyman pl ne,Washington,DC,
214871,4513 clay st ne,Washington,DC,
81411,1212 maryland ave ne,Washington,DC,
229992,3826 carpenter st se,Washington,DC,
99655,5070 macomb st nw,Washington,DC,
244357,4th st se,Washington,DC,
122991,3883 connecticut av,Washington,DC,
125411,3883 connecticut av,Washington,DC,
14513,2125 14th st nw  unit: 805,Washington,DC,
68350,h st nw,Washington,DC,
53722,0555 massachusetts av,Washington,DC,
103226,4201  cathedral ave nw 1221w,Washington,DC,
148258,linnean av nw,Washington,DC,
1296,922 24th st nw  unit: 608,Washington,DC,
56874,0555 massachusetts av,Washington,DC,
232296,good hope rd se,Washington,DC,
16855,nw,Washington,DC,
8584,1718 p st nw  unit: 208,Washington,DC,
180236,85 r st nw,Washington,DC,
233616,se,Washington,DC,
139429,3883 connecticut av,Washington,DC,
27082,h st nw,Washington,DC,
183337,624 geranium st nw,Washington,DC,
8334,1545 18th st nw  unit: 406,Washington,DC,
226499,4623 hilltop ter se,Washington,DC,
57471,0555 massachusetts av,Washington,DC,
164135,nw,Washington,DC,
231128,2412 minnesota av se unit: 2412,Washington,DC,
31717,0400 8th st nw,Washington,DC,
16232,1133 14th st nw  unit: 805,Washington,DC,
234316,w st se,Washington,DC,
83394,1328 massachusetts ave se,Washington,DC,
136191,3883 connecticut av,Washington,DC,
109954,5546 connecticut av nw,Washington,DC,
48230,0555 massachusetts av,Washington,DC,
122328,3883 connecticut av,Washington,DC,
233164,se,Washington,DC,
189803,155 v st ne,Washington,DC,
226543,4415 g st se,Washington,DC,
169288,758 hobart pl nw,Washington,DC,
251415,h st nw,Washington,DC,
68897,h st nw,Washington,DC,
3798,1280 21st st nw unit: p12,Washington,DC,
136289,3883 connecticut av,Washington,DC,
93607,3408 dent pl nw,Washington,DC,
60320,400 massachusetts ave nw  unit: 703,Washington,DC,
68131,h st nw,Washington,DC,
9119,1718 p st nw  unit: 518,Washington,DC,
207801,1625 lyman pl ne,Washington,DC,
59526,460 l st nw g2-247,Washington,DC,
163468,1331 locust rd nw,Washington,DC,
226095,se,Washington,DC,
87111,333 16th st se,Washington,DC,
68060,h st nw,Washington,DC,
15294,1529 14th st nw  unit: 508,Washington,DC,
236184,3713 suitland rd se,Washington,DC,
129458,3883 connecticut av,Washington,DC,
234983,se,Washington,DC,
176801,5519 illinois ave nw,Washington,DC,
122426,3883 connecticut av,Washington,DC,
136759,3883 connecticut av,Washington,DC,
17777,1213 t st nw,Washington,DC,
229858,1708 fort davis st se,Washington,DC,
46656,0555 massachusetts av,Washington,DC,
157984,1414 belmont st nw  unit: 414,Washington,DC,
118145,2818 connecticut av,Washington,DC,
5991,1736 18th st nw  unit: 304,Washington,DC,
218136,49th st ne,Washington,DC,
56307,0555 massachusetts av,Washington,DC,
227135,1542 41st st se,Washington,DC,
246816,0717 brandywine st,Washington,DC,
222669,dix st ne,Washington,DC,
36210,706 rhode island ave nw,Washington,DC,
112623,nw,Washington,DC,
70954,1225 1st st ne,Washington,DC,
95856,3819 davis pl nw  unit: 2,Washington,DC,
176260,nw,Washington,DC,
195968,1018 kearny st ne,Washington,DC,
17277,temperance ct nw,Washington,DC,
66390,h st nw,Washington,DC,
139580,3883 connecticut av,Washington,DC,
162402,1437 whittier st nw,Washington,DC,
197576,ne,Washington,DC,
188935,0092 hawthorne ct ne unit: 92,Washington,DC,
148020,2844 albemarle st nw,Washington,DC,
194684,5543 - 5575 south dakota ave ne,Washington,DC,
178786,430 lamont st nw,Washington,DC,
15406,1316 13th st nw,Washington,DC,
150860,2029 connecticut av nw unit: p36,Washington,DC,
215139,0019 46th pl ne,Washington,DC,
80393,0533 11th st se,Washington,DC,
193471,6020 3rd st ne,Washington,DC,
221686,56th pl ne,Washington,DC,
53675,0555 massachusetts av,Washington,DC,
242052,2536 elvans rd se,Washington,DC,
86983,1513 independence ave se,Washington,DC,
79308,0911 independence av se,Washington,DC,
102962,4201 cathedral ave nw  unit: 1013w,Washington,DC,
156568,1810 ingleside ter nw  unit: 1,Washington,DC,
35173,0400 8th st nw,Washington,DC,
